2011,2012,2013,2014,2015,2016,2017,2018,2019
67.7,68.7,63,59.8,62.9,58.4,60.7,55.2,61.5
80.17,76.89,73.74,71.3,69.36,67.48,65.76,64.29,63.07
79.875,77.604,76.818,76.368,75.312,74.296,72.731,70.649,68.491
76.207,74.46,75.759,82.005,80.052,78.489,74.134,69.771,67.272
88.606,89.922,96.14,97.836,84.415,77.105,76.101,74.074,74.708
97.65,83.94,94.59,94.03,97.59,93.87,84.23,79.45,75.68
63.765,63.62,61.392,57.898,61.57,53.294,51.051,49.898,47.437
60.25,61.766,57.738,57.433,60.839,61.093,54.839,53.463,54.72
99.135,93.506,92.632,106.085,89.755,89.277,90.218,90.241,92.894
75.07,76.05,76.93,77.86,79.18,79.96,80.1,80,79.5
92.4,86.1,81.8,81.9,77.7,74.7,74.2,72.2,73.8
113.28,116.66,129.54,115.84,127.71,94.37,95.46,102.84,91.38
77.434,72.063,74.55,80.485,79.293,69.361,64.028,58.5,61.69
113.757,99.814,90.971,84.614,71.229,81.043,83.986,75.686,80.071
77.274,73.097,64.001,68.692,68.326,66.554,62.912,58.22,61.843
60.643,52.758,53.487,55.204,42.763,45.871,48.988,49.659,44.882
104.1,102.5,105,97.5,93.6,105.3,105.3,93.2,95
82.9,85.5,81,79.1,72.1,75.6,76,79,77
80.837,79.951,84.3,81.991,73.043,75.178,79.821,75.386,80.151
97.487,102.842,95.408,99.472,100.681,102.267,101.726,100.458,106.307
86.11,86.8,78.865,80.166,84.629,77.466,80.843,77.52,77.648
